Àfrica	Afrika
Dubni	Dubnium
Alessandro Pertini	Sandro Pertini
Seaborgi	Seaborgium
Giovanni Leone	Giovanni Leone
Trentino - Alto Adige	Trentino-Syd-Tirol
Giuseppe Saragat	Giuseppe Saragat
Oceà Índic	Indiahavet
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Vèneto	Veneto
Enrico De Nicola	Enrico De Nicola
Kosovo	Kosovo
Mar Carib	Det karibiske hav
Bohri	Bohrium
Friül - Venècia Júlia	Friuli-Venezia Giulia
Hassi	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Ligúria	Liguria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneri	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emília-Romanya	Emilia-Romagna
U Thant	U Thant
Riu Colorado	Colorado (elv)
Darmstadti	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Confitura	Syltetøy
Alps Penins	Wallis-Alpene
Trygve Lie	Trygve Lie
Roentgeni	Røntgenium
Toscana	Toscana
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Copernici	Copernicium
Marques	Marche
Úmbria	Umbria
Categoria:Principal	Kategori:Kategorier
Laci	Latium
Dolomites	Dolomittene
Abruços	Abruzzo
Apenins	Appenninene
Alps	Alpene
Jansenisme	Jansenismen
Carpats	Karpatene
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Bron	Bron
Parlament Flamenc	Det flamske parlamentet
Dames	Dam (spill)
Dortmund	Dortmund
Gant	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununtri	Ununtrium
Flerovi	Flerovium
Ununpenti	Ununpentium
Livermori	Livermorium
Ununsepti	Ununseptium
Ununocti	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Hivern	Vinter
Primavera	Vår
Estiu	Sommer
Tardor	Høst
Equinocci	Jevndøgn
Saddam Hussein	Saddam Hussein
Ossama bin Laden	Osama bin Laden
Castellà	Spansk
Friedrich August von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Togliatti	Toljatti
Pittsburgh	Pittsburgh
Òpera	Opera
Filadèlfia	Philadelphia
Calcuta	Kolkata
Opel Astra	Opel Astra
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Bengala Occidental	Vest-Bengal
Aranya	Edderkopper
Aràcnid	Edderkoppdyr
Artròpode	Leddyr
Hyderabad (Índia)	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Fruit	Frukt
Categoria:Porto	Kategori:Porto
Mico	Apekatter
Diner	Penger
Virgínia	Virginia
Virgínia de l'Oest	Vest-Virginia
Gran Paradiso	Gran Paradiso
Cerví (muntanya)	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Gary Gygax	Gary Gygax
Dave Arneson	Dave Arneson
Piran	Piran
Llac Huron	Huronsjøen
Nova York (estat)	New York (delstat)
Ceri	Cerium
Praseodimi	Praseodym
Rhode Island	Rhode Island
Neodimi	Neodym
Insecte	Insekter
Maryland	Maryland
Delaware	Delaware
Lenin	Vladimir Lenin
Europi	Europium
Ohio	Ohio
Virgili	Vergil
Nicolau Maquiavel	Niccolò Machiavelli
Pennsilvània	Pennsylvania
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
August	Augustus
Microsoft Windows	Microsoft Windows
Tiberi	Tiberius
Nova Jersey	New Jersey
Calígula	Caligula
Gibraltar	Gibraltar
Claudi	Claudius
Finès	Finsk
Neró	Nero
Galba	Galba
Indiana	Indiana
Marc Salvi Otó	Otho
Vitel·li	Vitellius
Nokia	Nokia (selskap)
Vespasià	Vespasian
Automòbil	Bil
Tit Flavi Sabí Vespasià	Titus
Juventus Football Club	Juventus
Domicià	Domitian
Nerva	Nerva
Marc Ulpi Trajà	Trajan
Roger Federer	Roger Federer
Adrià	Hadrian
Geòrgia (Estats Units)	Georgia (USA)
Antoní Pius	Antoninus Pius
Marc Aureli	Marcus Aurelius
KDE	KDE Software Compilation
Luci Aureli Ver	Lucius Verus
Còmmode	Commodus
Zagreb	Zagreb
Publi Helvi Pèrtinax	Pertinax
Rajasthan	Rajasthan
Campània	Campania
Texas	Texas
Didi Julià	Didius Julianus
Septimi Sever	Septimius Severus
Molise	Molise
Tamil Nadu	Tamil Nadu
Caracal·la	Caracalla
Pulla	Puglia
Hillbilly	Hillbilly
Gènova	Genova
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Basilicata	Basilicata
Alexandra Stan	Alexandra Stan
Carolina del Nord	Nord-Carolina
Hoquei sobre herba	Landhockey
Carolina del Sud	Sør-Carolina
Unione Calcio Sampdoria	UC Sampdoria
Calàbria	Calabria
Sicília	Sicilia
Manila	Manila
Sardenya	Sardinia
Ferdinand Marcos	Ferdinand E. Marcos
Benigno Aquino	Benigno Aquino III
Feltre (Itàlia)	Feltre
Cebu (ciutat)	Cebu City
Riu Loira	Loire
Maurits Cornelis Escher	Maurits Cornelis Escher
Sena	Seine
Malaltia de Crohn	Crohns sykdom
Quezon City	Quezón by
Le Mans	Le Mans
Colitis ulcerosa	Ulcerøs kolitt
Bordeus	Bordeaux
Corazón Aquino	Corazón Aquino
Mayon	Mayon
Lupus eritematós sistèmic	Systemisk lupus erythematosus
Buenos Aires	Buenos Aires
Hacker	Datasnok
Robert Brasillach	Robert Brasillach
Ciutat de Mèxic	Mexico by
Tòquio	Tokyo
La Paz	La Paz
Barcelona	Barcelona
Mississipí	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Riu Mississipí	Mississippi (elv)
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
José Rizal	José Rizal
Piscina	Svømmebasseng
Mizoram	Mizoram
Sikkim	Sikkim
Patagònia	Patagonia
Tennessee	Tennessee
Teatre gal·loromà de Fourvière	Fourvière romerske teater
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Nagpur (ciutat)	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi (ciutat)	Abu Dhabi (by)
Astanà	Astana
Nou Mèxic	New Mexico
Ramsès II	Ramses II
Atenes	Athen
Intersecció giratòria	Rundkjøring
Minnesota	Minnesota
Bagdad	Bagdad
Caracas	Caracas
Temps universal coordinat	UTC
Wisconsin	Wisconsin
Poona	Pune
Ciceró	Marcus Tullius Cicero
Associazione Calcio Milan	AC Milan
Cyndi Lauper	Cyndi Lauper
Iowa	Iowa
Nebraska	Nebraska
Ciutat de Guatemala	Guatemala by
Sankt Pauli	St. Pauli
Kansas	Kansas
L'Havana	Havanna
Tabac	Tobakk
Hindi	Hindi
Marathi	Marathi
Avast!	Avast!
Internet Explorer	Internet Explorer
Cigar	Sigar
Cigarreta	Sigarett
Ganeixa	Ganesha
Missouri	Missouri
Georg Simon Ohm	Georg Simon Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Alden Armstrong	Neil Armstrong
Urdú	Urdu
Charles Lindbergh	Charles Lindbergh
Sigfrid Edström	Sigfrid Edström
Districte d'Altona	Altona
Édith Piaf	Édith Piaf
Wandsbek (districte)	Wandsbek
Bergedorf (districte)	Bergedorf
Osijek	Osijek
Elba (riu)	Elben
Rijeka	Rijeka
Ems	Ems (elv)
Oklahoma	Oklahoma
Weser	Weser
Justin Gatlin	Justin Gatlin
Danubi	Donau
David Rudisha	David Lekuta Rudisha
Vers	Vers
Split	Split
Ruhr	Ruhr
Jacques Brel	Jacques Brel
Mosel·la	Mosel
Main	Main
Mohammed Farah	Mohammed Farah
Neckar	Neckar
Aar	Aare
Ezekiel Kemboi	Ezekiel Kemboi
Saale	Saale
Mulde	Mulde
Havel	Havel
Spree	Spree
Jason Richardson	Jason Richardson (basketballspiller)
Elde	Elde (elv)
Félix Sánchez	Félix Sánchez
Mar del Nord	Nordsjøen
Skagerrak	Skagerrak
Província de Moscou	Moskva oblast
Serge Gainsbourg	Serge Gainsbourg
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hannover
Düsseldorf	Düsseldorf
Magúncia	Mainz
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
Munic	München
Província de Samara	Samara oblast
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Magdeburg
Voleibol	Volleyball
Innsbruck	Innsbruck
Bregenz	Bregenz
Sasuke Uchiha	Sasuke Uchiha
Viena	Wien
Madonna	Madonna (artist)
Copenhaguen	København
Província de Kaliningrad	Kaliningrad oblast
Macrí	Macrinus
Estocolm	Stockholm
Hèlsinki	Helsingfors
Província de Múrmansk	Murmansk oblast
Dublín	Dublin
Elagàbal	Heliogabalus
Múrmansk	Murmansk
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexandre Sever	Alexander Severus
Tallinn	Tallinn
Epitafi	Epitafium
Riga	Riga
Zanzíbar	Zanzibar
Maximí el Traci	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordià I	Gordian I
Primož Kozmus	Primož Kozmus
Charles Aznavour	Charles Aznavour
Kim Wilde	Kim Wilde
Gdańsk	Gdańsk
Frankfurt del Main	Frankfurt am Main
Marc Clodi Pupiè Màxim	Pupienus
Breslau	Wrocław
Kochi	Kochi (India)
Lantani	Lantan
Gordià II	Gordian II
Barbara	Monique Serf
Dècim Celi Balbí	Balbinus
Prometi	Promethium
Unitat astronòmica	Astronomisk enhet
Gordià III	Gordian III
Sant Tropetz	Saint-Tropez
Felip l'Àrab	Filip Araberen
Samari	Samarium
Aceh	Aceh
Karasjok	Karasjok
Vi negre	Rødvin
Kaliningrad	Kaliningrad
Deci (emperador romà)	Decius
Gadolini	Gadolinium
Death Note	Death Note
Zinédine Zidane	Zinedine Zidane
Terbi	Terbium
Laurent Blanc	Laurent Blanc
Catolicisme	Katolisisme
Ciutat de Luxemburg	Luxembourg (by)
Disprosi	Dysprosium
Vaduz	Vaduz
Bíblia	Bibelen
Holmi	Holmium
Ciutat de San Marino	San Marino by
Erbi	Erbium
Phnom Penh	Phnom Penh
Arkhànguelsk	Arkhangelsk
Astronomia de raigs X	Røntgenastronomi
Tuli	Thulium
Ciutat Ho Chi Minh	Ho Chi Minh-byen
Iterbi	Ytterbium
Luteci	Lutetium
Hanoi	Hanoi
Anglès	Engelsk
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Bangka-Belitung	Bangka-Belitung
Taipei	Taipei
Diplomacy	Diplomacy
Americi	Americium
Acqua alta	Acqua alta
Odessa	Odessa
Província d'Arkhànguelsk	Arkhangelsk oblast
Curi	Curium
Dong Hoi	Dong Hoi
Concepción	Concepción
Berkeli	Berkelium
Atalanta Bergamasca Calcio	Atalanta BC
Californi	Californium
Diplomàcia	Diplomati
Bengkulu	Bengkulu
Bolonya	Bologna
Einsteini	Einsteinium
Bologna Football Club 1909	Bologna FC 1909
Memphis Depay	Memphis Depay
Petrozavodsk	Petrozavodsk
Fermi (element)	Fermium
Càller	Cagliari
Mendelevi	Mendelevium
Kíev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobeli	Nobelium
Catània	Catania
Ontàrio	Ontario
Laurenci	Lawrencium
Hugo Lloris	Hugo Lloris
Mathieu Debuchy	Mathieu Debuchy
Adil Rami	Adil Rami
Yohan Cabaye	Yohan Cabaye
Olivier Giroud	Olivier Giroud
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
República de Carèlia	Karelia
Laurent Koscielny	Laurent Koscielny
Patrice Evra	Patrice Evra
Philippe Mexès	Philippe Mexès
Franck Bilal Ribéry	Franck Ribéry
Mathieu Valbuena	Mathieu Valbuena
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Anthony Réveillère	Anthony Réveillère
Steve Mandanda	Steve Mandanda
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Cursa espacial	Romkappløpet
Anja Pärson	Anja Pärson
Éric Abidal	Éric Abidal
Djibril Cissé	Djibril Cissé
William Gallas	William Gallas
Bacary Sagna	Bacary Sagna
Nicolas Anelka	Nicolas Anelka
Sébastien Squillaci	Sébastien Squillaci
Vassiriki Abou Diaby	Abou Diaby
Jérémy Toulalan	Jérémy Toulalan
Satèl·lits de Júpiter	Jupiters måner
Juba (ciutat)	Juba
Manitoba	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Nova Escòcia	Nova Scotia
Erevan	Jerevan
Gustav Thöni	Gustav Thöni
Hermann Maier	Hermann Maier
Vólogda	Vologda
Vreni Schneider	Vreni Schneider
Końskowola	Końskowola
Dar es Salaam	Dar-es-Salaam
Khartum	Khartoum
Nova Brunsvic	New Brunswick
Fórmula 1	Formel 1
Satèl·lits de Saturn	Saturns måner
Colúmbia Britànica	Britisk Columbia
Givors	Givors
Illa del Príncep Eduard	Prince Edward Island
Stade de Gerland	Stade de Gerland
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Diòxid de carboni	Karbondioksid
2013	2013
2014	2014
2015	2015
Terranova i Labrador	Newfoundland og Labrador
2008	2008
JavaScript	JavaScript
Deborah Compagnoni	Deborah Compagnoni
Territoris del Nord-oest	Nordvestterritoriene
Yukon	Yukon
Eiichiro Oda	Eiichiro Oda
2004	2004
Província de Vólogda	Vologda oblast
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
Bola de Drac	Dragon Ball
2006	2006
Cesare Pavese	Cesare Pavese
Nunavut	Nunavut
2007	2007
Monòxid de carboni	Karbonmonoksid
Linux Mint	Linux Mint
Verona	Verona
Iqaluit	Iqaluit
Districte de Luxemburg	Luxembourg (distrikt)
Notepad++	Notepad++
1900	1900
1901	1901
Associazione Calcio ChievoVerona	AC ChievoVerona
François Mitterrand	François Mitterrand
Titus Livi	Titus Livius
Giuseppe Farina	Giuseppe Farina
Charles de Gaulle	Charles de Gaulle
1902	1902
Florència	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Jambi	Jambi
ACF Fiorentina	ACF Fiorentina
Sèneca	Seneca den yngre
1908	1908
1909	1909
Whitehorse	Whitehorse
1992	1992
Yellowknife	Yellowknife
1991	1991
JSON	JSON
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
David Lynch	David Lynch
República de Komi	Komi
Genoa Cricket and Football Club	Genoa CFC
1910	1910
1911	1911
1912	1912
Scalable Vector Graphics	Scalable Vector Graphics
Leipzig	Leipzig
1913	1913
Saint John's (Terranova i Labrador)	St. John's (Newfoundland og Labrador)
1914	1914
1915	1915
Twin Peaks	Twin Peaks
Alberto Ascari	Alberto Ascari
1916	1916
1997	1997
1998	1998
Nuremberg	Nürnberg
1999	1999
1917	1917
Model d'Objectes del Document	Document Object Model
1918	1918
Aliment	Mat
Edmonton	Edmonton
Kjetil André Aamodt	Kjetil André Aamodt
Marc Valeri Marcial	Marcus Valerius Martialis
Duisburg	Duisburg
Càrrega elèctrica elemental	Elementærladning
Serp	Slanger
Bochum	Bochum
Mike Hawthorn	Mike Hawthorn
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Regió d'Arica i Parinacota	Arica y Parinacota
Lampung	Lampung
Velocitat de la llum	Lysets hastighet
Bielefeld	Bielefeld
Regió de Tarapacá	Tarapacá
Extensible Markup Language	XML
Regió d'Antofagasta	Antofagasta (region)
Mannheim	Mannheim
Regió d'Atacama	Atacama (region)
Regió de Coquimbo	Coquimbo
Sexe oral	Oralsex
Regina	Regina (Saskatchewan)
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Jack Brabham	Jack Brabham
Neutrí	Nøytrino
Charlottetown	Charlottetown
Bode Miller	Bode Miller
Regió Metropolitana de Santiago	Región Metropolitana de Santiago
Victoria (Colúmbia Britànica)	Victoria (Britisk Columbia)
Regió d'O'Higgins	O'Higgins
LOL (Internet)	LOL
Winnipeg	Winnipeg
Consell de Comissaris del Poble	Sovnarkom
Fredericton	Fredericton
Satèl·lits de Neptú	Neptuns måner
Sumatra Septentrional	Sumatera Utara
Halifax	Halifax (Nova Scotia)
Son Goku	Son Gokū
Siktivkar	Syktyvkar
Txerepovets	Tsjerepovets
Ciutat de Quebec	Québec (by)
UTC−12:00	UTC-12.00
1 de gener	1. januar
2 de gener	2. januar
Satèl·lits d'Urà	Uranus' måner
Subhas Chandra Bose	Subhas Chandra Bose
UTC−11:00	UTC-11.00
1920	1920
3 de gener	3. januar
1919	1919
Valencia (Bukidnon)	Valencia City
Tàcit	Tacitus
1921	1921
UTC−10:00	UTC-10.00
Nenètsia	Nenetsk
1922	1922
Regió del Maule	Maule
Lund	Lund (by)
4 de gener	4. januar
1923	1923
Regió del Bío-Bío	Biobío
UTC−09:30	UTC-09.30
Lance Armstrong	Lance Armstrong
1924	1924
Narian-Mar	Narjan-Mar
Riau	Riau
Regió de l'Araucània	Araucanía
Regió de Los Ríos	Los Ríos (region)
Regió de Los Lagos	Los Lagos
Cinturó d'asteroides	Asteroidebeltet
Regió d'Aysén	Aisén
QRpedia	QRpedia
UTC−09:00	UTC-09.00
República Socialista Federada Soviètica de Rússia	Den russiske sovjetiske føderative sosialistrepublikk
Georges Pompidou	Georges Pompidou
Regió de Magallanes i de l'Antàrtica Xilena	Magallanes y de la Antártica Chilena
Província de Leningrad	Leningrad oblast
GIF	GIF
Windows Media Audio	Windows Media Audio
JPEG	JPEG
Ròmul i Rem	Romulus og Remus
Planeta nan	Dvergplanet
5 de gener	5. januar
Arica	Arica
UTC−08:00	UTC-08.00
Malmö	Malmö
UTC−07:00	UTC-07.00
Pskov	Pskov
Riu Athabasca	Athabasca (elv)
Província de Pskov	Pskov oblast
6 de gener	6. januar
La cabana de l'oncle Tom	Onkel Toms hytte
Illes Riau	Kepulauan Riau
Electró	Elektron
7 de gener	7. januar
8 de gener	8. januar
Nòvgorod	Novgorod
Riu Saskatchewan Nord	North Saskatchewan
9 de gener	9. januar
Província de Nóvgorod	Novgorod oblast
10 de gener	10. januar
Província de Nijni Nóvgorod	Nizjnij Novgorod oblast
11 de gener	11. januar
12 de gener	12. januar
Riu Liard	Liard (elv)
Riu Columbia	Columbia (elv)
Buzz Aldrin	Buzz Aldrin
Publi Corneli Escipió Africà Major	Scipio Africanus
Telemark	Telemark
13 de gener	13. januar
Birmingham	Birmingham
14 de gener	14. januar
Júlia (filla d'August)	Julia den eldre
15 de gener	15. januar
16 de gener	16. januar
Tom Hanks	Tom Hanks
17 de gener	17. januar
18 de gener	18. januar
19 de gener	19. januar
20 de gener	20. januar
Revolució Industrial	Den industrielle revolusjon
Benzè	Benzen
Sumatra Meridional	Sumatera Selatan
21 de gener	21. januar
Chet Baker	Chet Baker
22 de gener	22. januar
23 de gener	23. januar
Imperi Romà	Det romerske keiserriket
24 de gener	24. januar
25 de gener	25. januar
Minsk	Minsk
Sàuron	Sauron
26 de gener	26. januar
Microsoft	Microsoft
27 de gener	27. januar
28 de gener	28. januar
29 de gener	29. januar
30 de gener	30. januar
Tver	Tver
31 de gener	31. januar
Província de Tver	Tver oblast
Chuck (sèrie de televisió)	Chuck (TV-serie)
Protó	Proton
2 de desembre	2. desember
1 de desembre	1. desember
3 de desembre	3. desember
7 de desembre	7. desember
5 de desembre	5. desember
8 de desembre	8. desember
10 de desembre	10. desember
6 de desembre	6. desember
9 de desembre	9. desember
Expedició perduda de Franklin	Franklins fortapte ekspedisjon
Pink Floyd	Pink Floyd
Publi Corneli Escipió Emilià Africà Menor	Scipio den yngre
4 de desembre	4. desember
Airbus Group	Airbus Group
1 de febrer	1. februar
2 de febrer	2. februar
Clorur de sodi	Koksalt
3 de febrer	3. februar
Kurów	Kurów
4 de febrer	4. februar
5 de febrer	5. februar
6 de febrer	6. februar
7 de febrer	7. februar
8 de febrer	8. februar
9 de febrer	9. februar
10 de febrer	10. februar
Expedició Coppermine de 1819-1822	Coppermine-ekspedisjonen 1819–1822
Química	Kjemi
Led Zeppelin	Led Zeppelin
14 de febrer	14. februar
13 de febrer	13. februar
15 de febrer	15. februar
11 de febrer	11. februar
12 de febrer	12. februar
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19 de febrer	19. februar
17 de febrer	17. februar
16 de febrer	16. februar
18 de febrer	18. februar
20 de febrer	20. februar
Dotze homes sense pietat	12 edsvorne menn
Química analítica	Analytisk kjemi
Província de Smolensk	Smolensk oblast
Neutró	Nøytron
69 (posició sexual)	69 (sexstilling)
21 de febrer	21. februar
22 de febrer	22. februar
23 de febrer	23. februar
24 de febrer	24. februar
25 de febrer	25. februar
26 de febrer	26. februar
27	27
27 de febrer	27. februar
28 de febrer	28. februar
11 de desembre	11. desember
29 de febrer	29. februar
12 de desembre	12. desember
C sostingut	C Sharp
Civilization IV	Sid Meier's Civilization IV
Visual Basic	Visual Basic
13 de desembre	13. desember
14 de desembre	14. desember
15 de desembre	15. desember
2 de març	2. mars
3 de març	3. mars
5 de març	5. mars
1 de març	1. mars
7 de març	7. mars
8 de març	8. mars
4 de març	4. mars
10 de març	10. mars
11 de març	11. mars
6 de març	6. mars
13 de març	13. mars
9 de març	9. mars
12 de març	12. mars
15 de març	15. mars
14 de març	14. mars
C++	C++
Àcid clorhídric	Saltsyre
16 de desembre	16. desember
17 de desembre	17. desember
Neuengamme	Neuengamme
Kristiansand	Kristiansand
16 de març	16. mars
17 de març	17. mars
18 de març	18. mars
Iaroslavl	Jaroslavl
19 de març	19. mars
1989	1989
1988	1988
20 de març	20. mars
1987	1987
1986	1986
1985	1985
1984	1984
21 de març	21. mars
1983	1983
22 de març	22. mars
1982	1982
1981	1981
18 de desembre	18. desember
1980	1980
23 de març	23. mars
Província de Iaroslavl	Jaroslavl oblast
Mogadiscio	Mogadishu
19 de desembre	19. desember
24 de març	24. mars
25 de març	25. mars
20 de desembre	20. desember
26 de març	26. mars
27 de març	27. mars
28 de març	28. mars
29 de març	29. mars
30 de març	30. mars
31 de març	31. mars
Riu Alier	Allier (elv)
Escala de temps geològics de Mart	Areologi
Nassau (Bahames)	Nassau (Bahamas)
Fluorur d'hidrogen	Hydrogenfluorid
Gran galàxia d'Andròmeda	Andromedagalaksen
Sanà	Sanaá
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Guerra dels Trenta Anys	Tredveårskrigen
Galàxia espiral	Spiralgalakse
Galàxia espiral barrada	Stavspiralgalakse
Tarbosaure	Tarbosaurus
Konrad Adenauer	Konrad Adenauer
Benet XVI	Benedikt XVI
Galàxia satèl·lit	Satellittgalakse
Ludwig Erhard	Ludwig Erhard
15 d'abril	15. april
13 d'abril	13. april
12 d'abril	12. april
14 d'abril	14. april
11 d'abril	11. april
10 d'abril	10. april
8 d'abril	8. april
9 d'abril	9. april
7 d'abril	7. april
6 d'abril	6. april
5 d'abril	5. april
4 d'abril	4. april
3 d'abril	3. april
1 d'abril	1. april
2 d'abril	2. april
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Telescopi espacial Hubble	Hubble-teleskopet
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16 d'abril	16. april
17 d'abril	17. april
18 d'abril	18. april
Dioxina	Dioksin
19 d'abril	19. april
20 d'abril	20. april
21 d'abril	21. april
22 d'abril	22. april
23 d'abril	23. april
24 d'abril	24. april
Gerhard Schröder	Gerhard Schröder
25 d'abril	25. april
26 d'abril	26. april
27 d'abril	27. april
28 d'abril	28. april
29 d'abril	29. april
30 d'abril	30. april
Satèl·lit natural	Naturlig satellitt
Joachim Gauck	Joachim Gauck
Aprenentatge automàtic	Maskinlæring
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1 de maig	1. mai
2 de maig	2. mai
Bromur de potassi	Kaliumbromid
3 de maig	3. mai
Buran (transbordador espacial)	Buran (romferge)
4 de maig	4. mai
5 de maig	5. mai
Johannes Rau	Johannes Rau
6 de maig	6. mai
7 de maig	7. mai
Knock Nevis	Knock Nevis
8 de maig	8. mai
9 de maig	9. mai
10 de maig	10. mai
11 de maig	11. mai
12 de maig	12. mai
13 de maig	13. mai
14 de maig	14. mai
15 de maig	15. mai
Roman Herzog	Roman Herzog
Tità (satèl·lit)	Titan (måne)
Richard von Weizsäcker	Richard von Weizsäcker
Karl Carstens	Karl Carstens
Walter Scheel	Walter Scheel
Gustav Heinemann	Gustav Heinemann
16 de maig	16. mai
17 de maig	17. mai
18 de maig	18. mai
19 de maig	19. mai
20 de maig	20. mai
21 de maig	21. mai
22 de maig	22. mai
Heinrich Lübke	Heinrich Lübke
23 de maig	23. mai
24 de maig	24. mai
25 de maig	25. mai
26 de maig	26. mai
27 de maig	27. mai
28 de maig	28. mai
29 de maig	29. mai
30 de maig	30. mai
31 de maig	31. mai
Kostromà	Kostroma
Theodor Heuss	Theodor Heuss
Província de Kostromà	Kostroma oblast
Watford	Watford
Paul McCartney	Paul McCartney
Manfred Gerlach	Manfred Gerlach
Egon Krenz	Egon Krenz
21 de desembre	21. desember
Pius XII	Pius XII
Erich Honecker	Erich Honecker
Società Sportiva Lazio	SS Lazio
Willi Stoph	Willi Stoph
14 de juny	14. juni
15 de juny	15. juni
13 de juny	13. juni
10 de juny	10. juni
7 de juny	7. juni
11 de juny	11. juni
9 de juny	9. juni
12 de juny	12. juni
